romaji,hiragana,translation
ikimasu,いきます,go
kimasu,きます,come
kaerimasu,かえります,"go home, return"
gakkō,がっこう,school
sūpā,スーパー,supermarket
eki,えき,station
hikōki,ひこうき,"aeroplane, airplane"
fune,ふね,ship
densha,でんしゃ,electric train
chikatetsu,ちかてつ,"underground, subway"
shinkansen,しんかんせん,"the Shinkansen, the bullet train"
basu,バス,bus
takushii,タクシー,taxi
jitensha,じてんしゃ,bicycle
aruite,あるいて,on foot
hito,ひと,"person, people"
tomodachi,ともだち,friend
kare,かれ,"he, boyfriend, lover"
kanojo,かのじょ,"she, girlfriend, lover"
kazoku,かぞく,family
hitori de,ひとりで,"alone, by oneself"
senshū,せんしゅう,last week
konshū,こんしゅう,this week
raishū,らいしゅう,next week
sengetsu,せんげつ,last month
kongetsu,こんげつ,this month
raigetsu,らいげつ,next month
kyonen,きょねん,last year
kotoshi,ことし,this year
rainen,らいねん,next year
-nen,－ねん,-th year
nan-nen,なんねん,what year
-gatsu,－がつ,-th month of the year
nan-gatsu,なんがつ,what month
tsuitachi,ついたち,first day of the month
futsuka,ふつか,"second, two days"
mikka,みっか,"third, three days"
yokka,よっか,"fourth, four days"
itsuka,いつか,"fifth, five days"
muika,むいか,"sixth, six days"
nanoka,なのか,"seventh, seven days"
yōka,ようか,"eighth, eight days"
kokonoka,ここのか,"ninth, nine days"
tōka,とおか,"tenth, ten days"
jū yokka,じゅうよっか,"fourteenth, fourteen days"
hatsuka,はつか,"twentieth, twenty days"
ni-jū yokka,にじゅうよっか,"twenty-fourth, twenty-four days"
-nichi,－にち,"-th day of the month, －day(s)"
nan-nichi,なんにち,"which day of the month, how many days"
itsu,いつ,when
tanjōbi,たんじょうび,birthday
Sō desu ne.,そうですね。,"Yes, it is."
[Dōmo] arigatō gozaimashita.,［どうも］ありがとうざいました。,Thank you very much.
Dō itashimashite.,どういたしまして。,You're welcome./Don't mention it.
-bansen,－ばんせん,"platform －, －th platform"
tsugi no,つぎの,next
futsū,ふつう,local (train)
kyūkō,きゅうこう,rapid
tokkyū,とっきゅう,express
Kōshien,こうしえん,name of a town near Osaka
Ōsakajō,おおさかじょう,"Osaka Castle, a famous castle in Osaka"
Ganjitsu,がんじつ,New Year's Day
Seijin no hi,せいじんのひ,Coming-of-Age Day
Kenkoku kinen no hi,けんこくきねんのひ,National Foundation Day
Shunbun no hi,しゅんぶんのひ,Vernal Equinox Day
Shōwa no hi,しょうわのひ,Showa Day
Kenpō kinenbi,けんぽうきねんび,Constitution Memorial Day
Midori no hi,みどりのひ,Greenery Day
Kodomo no hi,こどものひ,Children's Day
Umi no hi,うみのひ,Marine Day
Yama no hi,やまのひ,Mountain Day
Keirō no hi,けいろうのひ,Respect-for-the-Aged Day
Shūbun no hi,しゅうぶんのひ,Automnal Equinox Day
Taiiku no hi,たいいくのひ,Health and Sports Day
Bunka no hi,ぶんかのひ,Culture Day
Kinrō-kansha no hi,きんろうかんしゃのひ,Labour Thanksgiving Day
Tennō-tanjōbi,てんのうたんじょうび,The Emperor's Birthday
Gōruden-uīku,ゴールデンウィーク,Golden Week
