romaji,hiragana,translation
tabemasu,たべます,eat
nomimasu,のみます,drink
suimasu [tabako o ~],すいます ［たばこを～］,smoke [a cigarette]
mimasu,みます,"see, look at, watch"
kikimasu,ききます,"hear, listen"
yomimasu,よみます,read
kakimasu,かきます,"write, draw, paint"
kaimasu,かいます,buy
torimasu [shashin o ~],とります ［しゃしんを～］,take [a photograph]
shimasu,します,"do, play"
aimasu [tomodachi ni ~],あいます ［ともだちに～］,meet [a friend]
gohan,ごはん,"a meal, cooked rice"
asagohan,あさごはん,breakfast
hirugohan,ひるごはん,lunch
bangohan,ばんごはん,supper
pan,パン,bread
tamago,たまご,egg
niku,にく,meat
sakana,さかな,fish
yasai,やさい,vegetable
kudamono,くだもの,fruit
mizu,みず,water
ocha,おちゃ,"tea, green tea"
kōcha,こうちゃ,black tea
gyūnyū (miruku),ぎゅうにゅう（ミルク）,milk
jūsu,ジュース,juice
biiru,ビール,beer
[o-]sake,［お］さけ,"alcohol, Japanese rice wine"
tabako,たばこ,"tobacco, cigarette"
tegami,てがみ,letter
repōto,レポート,report
shashin,しゃしん,photograph
bideo,ビデオ,"video [tape], video deck"
mise,みせ,"shop, store"
niwa,にわ,garden
shukudai,しゅくだい,homework (~ o shimasu : do homework)
tenisu,テニス,tennis (~ o shimasu : play tennis)
sakkā,サッカー,"soccer, football (~ o shimasu : play soccer)"
[o-]hanami,［お］はなみ,cherry-blossom viewing (~ o shimasu : view the cherry blossoms)
nani,なに,what
issho ni,いっしょに,together
chotto,ちょっと,"a little while, a little bit"
itsumo,いつも,"always, usually"
tokidoki,ときどき,sometimes
sorekara,それから,"after that, and then"
ē,ええ,yes
ii desu ne.,いいですね。,That's good.
Wakarimashita.,わかりました。,I see.
Nan desu ka.,なんですか。,Yes? (lit: What is it?)
"Ja, mata [ashita].",じゃ、また［あした］。,See you [tomorrow].
Mekishiko,メキシコ,Mexico
Ōsaka-depāto,おおさかデパート,a fictitious department store
Tsuru-ya,つるや,a fictitious restaurant
Furansu-ya,フランスや,a fictitious supermarket
Mainichi-ya,まいにちや,a fictitious supermarket
kyūri,きゅうり,cucumber
tomato,トマト,tomato
nasu,なす,"aubergine, eggplant"
mame,まめ,"beans, peas"
kyabetsu,キャベツ,cabbage
negi,ねぎ,"spring onion, scallion"
hakusai,はくさい,Chinese cabbage
hōrensō,ほうれんそう,spinach
retasu,レタス,lettuce
jagaimo,じゃがいも,potato
daikon,だいこん,"Japanese radish, mooli"
tamanegi,たまねぎ,onion
ninjin,にんじん,carrot
ichigo,いちご,strawberry
momo,もも,peach
suika,すいか,watermelon
budō,ぶどう,grape
nashi,なし,Japanese pear
kaki,かき,persimmon
mikan,みかん,mandarin orange
ringo,りんご,apple
banana,バナナ,banana
gyūniku,ぎゅうにく,beef
toriniku,とりにく,chicken
butaniku,ぶたにく,pork
sōsēji,ソーセージ,sausage
hamu,ハム,ham
kome,こめ,rice
tamago (food section),たまご,egg
aji,あじ,horse mackerel
iwashi,いわし,sardine
saba,さば,mackerel
sanma,さんま,mackerel pike
sake,さけ,salmon
maguro,まぐろ,tuna
tai,たい,sea bream
tara,たら,cod
ebi,えび,"lobster, shrimp"
kani,かに,crab
ika,いか,"cuttlefish, squid"
tako,たこ,octopus
kai,かい,shellfish
