romaji,hiragana,translation
kirimasu,きります,"cut, slice"
okurimasu,おくります,send
agemasu,あげます,give
moraimasu,もらいます,receive
kashimasu,かします,lend
karimasu,かります,borrow
oshiemasu,おしえます,teach
naraimasu,ならいます,learn
kakemasu [denwa o ~],かけます ［でんわを～］,make [a telephone call]
te,て,"hand, arm"
hashi,はし,chopsticks
supūn,スプーン,spoon
naifu,ナイフ,knife
fōku,フォーク,fork
hasami,はさみ,scissors
pasokon,パソコン,personal computer
kētai,ケータイ,"mobile phone, cell phone"
mēru,メール,e-mail
nengajō,ねんがじょう,New Year's greeting card
panchi,パンチ,punch
hotchikisu,ホッチキス,stapler
serotēpu,セロテープ,"Sellotape, Scotch tape, clear adhesive tape"
keshigomu,けしゴム,"rubber, eraser"
kami,かみ,paper
hana,はな,"flower, blossom"
shatsu,シャツ,shirt
purezento,プレゼント,"present, gift"
nimotsu,にもつ,"luggage, baggage, parcel"
okane,おかね,money
kippu,きっぷ,ticket
Kurisumasu,クリスマス,Christmas
chichi,ちち,(my) father
haha,はは,(my) mother
otōsan,おとうさん,(someone else's) father (also used to address one's own father)
okāsan,おかあさん,(someone else's) mother (also used to address one's own mother)
mō,もう,already
mada,まだ,not yet
korekara,これから,"from now on, soon"
"[~,] suteki desu ne.",［～、］すてきですね。,What a nice [~]!
Irasshai.,いらっしゃい。,How nice of you to come. (lit. Welcome.)
Dōzo o-agari kudasai.,どうぞ おあがり ください。,Do come in.
Shitsurei-shimasu.,しつれいします。,May I? (lit. I commit an incivility.)
[~wa] ikaga desu ka.,［～は］いかがですか。,Won't you have [~]?/Would you like to have [~]? (used when offering something)
Itadakimasu.,いただきます。,Thank you./I accept. (said before starting to eat or drink)
Gochisōsama [deshita].,ごちそうさま［でした］。,That was delicious. (said after eating or drinking)
Supein,スペイン,Spain
sobo,そぼ,grandmother (humble/my)
sofu,そふ,grandfather (humble/my)
sofubo,そふぼ,grandparents (humble/my)
chichi (family section),ちち,father (humble/my)
haha (family section),はは,mother (humble/my)
ryōshin,りょうしん,parents (humble/my)
imōto,いもうと,younger sister (humble/my)
otōto,おとうと,younger brother (humble/my)
ane,あね,elder sister (humble/my)
ani,あに,elder brother (humble/my)
kyōdai,きょうだい,"brothers and sisters, siblings (humble/my)"
tsuma,つま,wife (humble/my)
otto,おっと,husband (humble/my)
fūfu,ふうふ,"husband and wife, married couple (humble/my)"
musume,むすめ,daughter (humble/my)
musuko,むすこ,son (humble/my)
kodomo,こども,children (humble/my)
obāsan,おばあさん,grandmother (polite/someone else's)
ojiisan,おじいさん,grandfather (polite/someone else's)
okāsan (family section),おかあさん,mother (polite/someone else's)
otōsan (family section),おとうさん,father (polite/someone else's)
go-ryōshin,ごりょうしん,parents (polite/someone else's)
imōto-san,いもうとさん,younger sister (polite/someone else's)
otōto-san,おとうとさん,younger brother (polite/someone else's)
onēsan,おねえさん,elder sister (polite/someone else's)
oniisan,おにいさん,elder brother (polite/someone else's)
go-kyōdai,ごきょうだい,"brothers and sisters, siblings (polite/someone else's)"
okusan,おくさん,wife (polite/someone else's)
go-shujin,ごしゅじん,husband (polite/someone else's)
go-fūfu,ごふうふ,"Mr. & Mrs., married couple (polite/someone else's)"
musume-san,むすめさん,daughter (polite/someone else's)
musuko-san,むすこさん,son (polite/someone else's)
okosan,おこさん,children (polite/someone else's)
